id,sentence
1,"the cast ... keeps this pretty watchable , and casting mick jagger as director of the escort service was inspired ."
2,"has never made a more sheerly beautiful film than this unexpectedly moving meditation on love , history , memory , resistance and artistic transcendence ."
3,"we 've marveled at disney 's rendering of water , snow , flames and shadows in a hand-drawn animated world ."
4,is a wonderful thing ; that he has been able to share his story so compellingly with us is a minor miracle .
5,develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times .
6,"grace to call for prevention rather than to place blame , making it one of the best war movies ever made"
7,"but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights"
8,"a film that will be best appreciated by those willing to endure its extremely languorous rhythms , waiting for happiness is ultimately thoughtful without having much dramatic impact ."
9,"may be one of the most appealing movies ever made about an otherwise appalling , and downright creepy , subject -- a teenage boy in love with his stepmother"
10,'s so much to look at in metropolis you hate to tear your eyes away from the images long enough to read the subtitles
11,"the chateau belongs to rudd , whose portrait of a therapy-dependent flakeball spouting french malapropisms ... is a nonstop hoot ."
12,"while it 's nothing we have n't seen before from murphy , i spy is still fun and enjoyable and so aggressively silly that it 's more than a worthwhile effort ."
13,"has never made a more sheerly beautiful film than this unexpectedly moving meditation on love , history , memory , resistance and artistic transcendence"
14,"is n't nearly as downbeat as it sounds , but strikes a tone that 's alternately melancholic , hopeful and strangely funny"
15,"diaz , applegate , blair and posey are suitably kooky which should appeal to women and they strip down often enough to keep men alert , if not amused ."
16,as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart
17,"the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes"
18,"not only of one man 's quest to be president , but of how that man single-handedly turned a plane full of hard-bitten , cynical journalists into what was essentially , by campaign 's end , an extended publicity department"
19,chimes in on the grieving process and strangely draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss .
20,"it 's light on the chills and heavy on the atmospheric weirdness , and there are moments of jaw-droppingly odd behavior -- yet i found it weirdly appealing ."
21,"comes together to create a very compelling , sensitive , intelligent and almost cohesive piece of film entertainment"
22,"retelling a historically significant , and personal , episode detailing how one international city welcomed tens of thousands of german jewish refugees while the world 's democracie"
23,"gooding is the energetic frontman , and it 's hard to resist his enthusiasm , even if the filmmakers come up with nothing original in the way of slapstick sequences ."
24,"with an unusual protagonist ( a kilt-wearing jackson ) and subject matter , the improbable `` formula 51 '' is somewhat entertaining , but it could have been much stronger ."
25,love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history
26,while the transgressive trappings ( especially the frank sex scenes ) ensure that the film is never dull
27,create some episodes that rival vintage looney tunes for the most creative mayhem in a brief amount of time
28,"the extra effort to see an artist , still committed to growth in his ninth decade , change while remaining true to his principles"
29,"encouraging to see a three-dimensional , average , middle-aged woman 's experience of self-discovery handled with such sensitivity"
30,"admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form ."
31,"acted and directed , it 's clear that washington most certainly has a new career ahead of him if he so chooses ."
32,"jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology"
33,"what the movie lacks in action it more than makes up for in drama , suspense , revenge , and romance ."
34,paid in full is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks .
35,starting with spielberg and going right through the ranks of the players -- on-camera and off -- that he brings together
36,"for the faint of heart or conservative of spirit , but for the rest of us -- especially san francisco lovers"
37,"delivers the sexy razzle-dazzle that everyone , especially movie musical fans , has been hoping for ."
38,"danny huston gives ) an astounding performance that deftly , gradually reveals a real human soul buried beneath a spellbinding serpent 's smirk ."
39,it 's better than that eponymous 1980 biopic that used soap in the places where the mysteries lingered
40,"a worthwhile documentary , whether you 're into rap or not , even if it may still leave you wanting more answers as the credits"
41,"nicole kidman evolved from star to superstar some time over the past year , which means that birthday girl is the kind of quirkily appealing minor movie she might not make for a while ."
42,steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology .
43,coral reef adventure is a heavyweight film that fights a good fight on behalf of the world 's endangered reefs -- and it lets the pictures do the punching .
44,"is made fresh by an intelligent screenplay and gripping performances in this low-budget , video-shot , debut indie effort"
45,it 's a perfect show of respect to just one of those underrated professionals who deserve but rarely receive it .
46,"visually breathtaking , viscerally exciting , and dramatically moving , it 's the very definition of epic adventure ."
47,"... a sweetly affecting story about four sisters who are coping , in one way or another , with life 's endgame ."
48,"leaping from one arresting image to another , songs from the second floor has all the enjoyable randomness of a very lively dream and so manages to be compelling , amusing and unsettling at the same time ."
49,"fessenden continues to do interesting work , and it would be nice to see what he could make with a decent budget ."
50,"not all of the stories work and the ones that do are thin and scattered , but the film works well enough to make it worth watching"
51,seems to go out of his way to turn the legendary wit 's classic mistaken identity farce into brutally labored and unfunny hokum .
52,"thinking not only that kate is n't very bright , but that she has n't been worth caring about and that maybe she , janine and molly -- an all-woman dysfunctional family -- deserve one another"
53,"audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching ,"
54,"fails to give his audience a single character worth rooting for ( or worth rooting against , for that matter ) ."
55,you may be galled that you 've wasted nearly two hours of your own precious life with this silly little puddle of a movie .
56,"is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story"
57,"helpful to listen to extremist name-calling , regardless of whether you think kissinger was a calculating fiend or just a slippery self-promoter"
58,sympathy really belongs with any viewer forced to watch him try out so many complicated facial expressions
59,a backhanded ode to female camaraderie penned by a man who has little clue about either the nature of women or of friendship .
60,the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull .
61,they toss logic and science into what is essentially a `` dungeons and dragons '' fantasy with modern military weaponry ...
62,"stripped almost entirely of such tools as nudity , profanity and violence , labute does manage to make a few points about modern man and his problematic quest for human connection ."
63,you could easily mistake it for a sketchy work-in-progress that was inexplicably rushed to the megaplexes before its time .
64,it 's not as awful as some of the recent hollywood trip tripe ... but it 's far from a groundbreaking endeavor
65,"interesting than the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run"
66,"i can imagine this movie as a b & w british comedy , circa 1960 , with peter sellers , kenneth williams , et al. , but at this time , with this cast , this movie is hopeless"
67,"some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , but , dude ,"
68,all the movie 's narrative gymnastics ca n't disguise the fact that it 's inauthentic at its core and that its story just is n't worth telling .
69,"a superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : everyone has shown up at the appointed time and place ,"
70,way of what can be gleaned from this three-hour endurance test built around an hour 's worth of actual material
71,"is felt ; not the craven of ' a nightmare on elm street ' or ` the hills have eyes , ' but the sad schlock merchant of ` deadly friend"
72,"unlike ( scorsese 's mean streets ) , ash wednesday is essentially devoid of interesting characters or even a halfway intriguing plot ."
73,the experience of actually watching the movie is less compelling than the circumstances of its making .
74,"after a while , the only way for a reasonably intelligent person to get through the country bears is to ponder how a whole segment of pop-music history has been allowed to get wet , fuzzy and sticky ."
75,"a dark-as-pitch comedy that frequently veers into corny sentimentality , probably would not improve much after a therapeutic zap of shock treatment ."
76,"we have poignancy jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except , maybe , that it looks neat ."
77,does n't come close to justifying the hype that surrounded its debut at the sundance film festival two years ago
78,aside from the fact that the film idiotically uses the website feardotcom.com or the improperly hammy performance from poor stephen rea
79,not only does the thoroughly formulaic film represent totally exemplify middle-of-the-road mainstream
80,"updates the setting in an attempt to make the film relevant today , without fully understanding what it was that made the story relevant in the first place ."
81,"is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt-trip parents"
82,it 's impossible to indulge the fanciful daydreams of janice beard ( eileen walsh ) when her real-life persona is so charmless and vacant .
83,"sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening"
84,"an unencouraging threefold expansion on the former mtv series , accompanying the stunt-hungry dimwits in a random series of collected gags , pranks , pratfalls , dares , injuries , etc. ."
85,", this too-long , spoofy update of shakespeare 's macbeth does n't sustain a high enough level of invention ."
